GEOID10,acer_count,acer_count_per_tree_count,acer_height_sum,acer_height_sum_prop,ag_hh_inc,aland10,angio_height_prop,angio_height_prop_cubed,angio_height_sum,arbuscular_height_prop,arbuscular_height_prop_squared,arbuscular_prop,area_hectare,building_per_pix,canopy_per,count_am,cqq,diffuse_count,diffuse_height_prop,diffuse_height_sum,diffuse_prop,genera_dominance,genera_richness,genera_richness_per_hectare,genera_true_evenness,GEOID10,grass_per,health_color,health_color_height_prop,health_color_height_prop_cubed,health_color_squared,imp_per,lst_avg,lst_res,mean_height,mean_height_log,med_hh_inc,muni_id,muni_name,ndvi_avg,ndvi_cv,ndvi_cvA_O,ndvi_cvJ_A,ndvi_res,per_bipoc,percent_angio,percent_angio_cubed,pop_density,quercus_acer_height_sum,quercus_acer_height_sum_prop,quercus_count,quercus_count_per_tree_count,quercus_count_per_tree_sqrt,quercus_height_sum,quercus_height_sum_prop,quercus_height_sum_prop_sqrt,soil_access_count,soil_access_per_tree_count,soil_access_per_tree_count_sqrt,spa,spanm,species_dominance,species_true_evenness,street_tree_count,street_tree_height_sum,street_tree_height_sum_prop,street_tree_percent,stressors_sum,stressors_sum_per_tree_count,stressors_sum_per_tree_count_sqrt,sum_AM_heights,sum_angio,sum_bark_issue,sum_basal_bole,sum_branch_iss,sum_height_per_hectare,sum_heights,sum_heights_per_hectare,sum_size_health_color,t_quality,tax_richness_per_hectare,taxonomic_richness,total_pop,tree_count,tree_count_per_hectare,tree_health_mean,wkt_geom
390351031001016,26,0.157575758,293.3,0.242056615,19703600,26575,0.838986548,0.590561312,1016.6,0.69769745,0.486781732,0.654545455,2.6575,0.301530641,0.209887981,108,-0.843408826,56,0.426755798,517.1,0.339393939,0.072470156,31,11.66509878,0.445122051,3.90351E+14,0.163271989,0.905030303,0.905051013,0.741342975,0.819079849,0.455097769,39.04988673,0.243645683,7.388414634,1.999913183,35266,46,Cleveland,0.353678254,0.240726286,0.179725075,0.110946879,-0.054582306,0.335820896,0.838986548,0.590561312,50.4233302,295.3,0.243707188,1,0.006060606,0.077849894,2,0.001650574,0.040627252,287,1.739393939,1.318860849,10,Detroit Shoreway,0.048595041,0.428713152,33,298.9,0.246678221,0.2,63,0.381818182,0.617914381,845.4,1016.6,10,26,27,455.9548448,1211.7,455.9548448,1096.650313,-3.787254228,18.06208843,48,134,165,62.08842897,0.925151515,"MultiPolygon (((-81.72925499999999488 41.4843309999999974, -81.73028099999999085 41.48404899999999884, -81.73028099999999085 41.48447099999999921, -81.73026399999999114 41.48646999999999707, -81.73026399999999114 41.48700799999999589, -81.729254999999994"
390351035001003,42,0.234636872,477,0.315622312,31567800,24319,0.90332826,0.737117618,1365.2,0.838681929,0.703387379,0.826815642,2.4319,0.197397477,0.375234005,148,0.449912225,68,0.431218157,651.7,0.379888268,0.097967428,32,13.15843579,0.31898357,3.90351E+14,0.370017734,0.937119413,0.901245782,0.732031442,0.878192795,0.314028007,35.5774045,0.377926117,8.44301676,2.133339681,46625,46,Cleveland,0.581507846,0.172508694,0.130452909,0.046173803,0.002619964,0.384615385,0.90332826,0.737117618,48.11053086,517,0.342089592,2,0.011173184,0.105703285,40,0.02646728,0.162687676,226,1.262569832,1.123641327,10,Ohio City,0.040462063,0.537271926,37,425,0.281214848,0.206703911,52,0.290502793,0.53898311,1267.5,1365.2,9,12,31,621.4482503,1511.3,621.4482503,1362.05275,-0.423492893,18.91525145,46,117,179,73.60500021,0.945670391,"MultiPolygon (((-81.71771699999999328 41.48333499999999674, -81.71771699999999328 41.48276899999999756, -81.71771699999999328 41.48112499999999869, -81.71890199999999993 41.48112199999999916, -81.71890299999999741 41.48333499999999674, -81.71831000000000"
390351036023010,16,0.210526316,167.8,0.250897129,38682700,11916,0.913277512,0.761742684,610.8,0.8125,0.66015625,0.802631579,1.1916,0.314897512,0.346279044,61,1.350712326,28,0.386214115,258.3,0.368421053,0.106281958,23,19.30177912,0.409084118,3.90351E+14,0.065497826,0.918066667,0.900133074,0.729323418,0.842846404,0.452801979,36.60728424,-1.24683254,9.288888889,2.228818943,76528,46,Cleveland,0.57749839,0.202777056,0.157880152,0.031629539,0.174028729,0.571428571,0.913277512,0.761742684,52.87009063,167.8,0.250897129,0,0,0,0,0,0,132,1.736842105,1.317893055,10,Ohio City,0.072315559,0.476837339,18,169.6,0.253588517,0.236842105,33,0.434210526,0.658946528,543.4,610.8,10,5,18,561.2621685,668.8,561.2621685,602.009,5.750755637,24.33702585,29,63,76,63.77979188,0.926644737,"MultiPolygon (((-81.71305599999999458 41.48382499999999595, -81.7153160000000014 41.48278599999999727, -81.71564200000000255 41.48318599999999634, -81.71354499999999632 41.48418600000000112, -81.71332199999999091 41.48418600000000112, -81.713055999999994"
390351042002006,14,0.166666667,155.5,0.18225504,26601500,29035,0.917838725,0.773212972,783.1,0.722808251,0.522451768,0.702380952,2.9035,0.26929858,0.228220003,59,-0.81341954,37,0.53164557,453.6,0.44047619,0.079408627,25,8.610297916,0.503723608,3.90351E+14,0.267870099,0.806516768,0.723637189,0.37893318,0.650469298,0.383198106,38.3492334,0.654717986,10.27951807,2.330153379,52188,46,Cleveland,0.445547852,0.240320209,0.208705428,0.173192763,-0.025017606,0.233333333,0.917838725,0.773212972,51.6617875,214,0.250820441,8,0.095238095,0.3086067,58.5,0.068565401,0.261849959,189,2.25,1.5,14,Tremont,0.05800119,0.522455322,28,300.3,0.351969058,0.333333333,68,0.80952381,0.899735411,616.7,783.1,17,8,43,293.8522473,853.2,293.8522473,617.40725,-4.094684257,11.36559325,33,150,84,28.930601,0.830792683,"MultiPolygon (((-81.68757999999999697 41.48113399999999729, -81.68757999999999697 41.48104899999999873, -81.68931200000000104 41.47986999999999824, -81.68934099999999887 41.48226400000000069, -81.68763299999999106 41.48226400000000069, -81.68757999999999"
390351043002004,34,0.265625,406,0.316002491,40673200,32957,0.939367995,0.828909807,1206.9,0.803160025,0.645066026,0.8203125,3.2957,0.197139144,0.265322692,105,-0.454070526,54,0.496030511,637.3,0.421875,0.113150226,30,9.102770276,0.294593607,3.90351E+14,0.314703535,0.864665354,0.839000428,0.590590623,0.747646175,0.416962134,38.37283638,1.44409739,10.1968254,2.322076436,68056,46,Cleveland,0.478688621,0.261938558,0.145925103,0.041972553,-0.030383477,0.123893805,0.939367995,0.828909807,34.28710137,511.3,0.397960772,6,0.046875,0.216506351,105.3,0.081958281,0.286283568,188,1.46875,1.211919964,14,Tremont,0.059458119,0.3737458,31,355.7,0.276852428,0.2421875,63,0.4921875,0.70156076,1031.9,1206.9,19,5,39,389.8413084,1284.8,389.8413084,1077.94775,-2.925088447,13.65415541,45,113,128,38.83848651,0.881835938,"MultiPolygon (((-81.68252599999999575 41.47750299999999868, -81.6843199999999996 41.47747299999999626, -81.68468799999999419 41.47746499999999514, -81.68594999999999118 41.47866599999999693, -81.68455799999999556 41.47949699999999496, -81.682525999999995"
390351084002000,10,0.087719298,137.4,0.106552927,6372600,47039,0.88964715,0.704130855,1147.2,0.607212098,0.368706532,0.614035088,4.7039,0.235073321,0.277928546,70,-0.851486137,25,0.214113998,276.1,0.219298246,0.119602727,24,5.10214928,0.348375557,3.90351E+14,0.295935404,0.792477477,0.76230855,0.442988418,0.628020552,0.378510499,39.18329899,2.116523384,11.51339286,2.443510954,15347,46,Cleveland,0.451373522,0.24423289,0.186455445,0.061112933,-0.055751529,0.494318182,0.88964715,0.704130855,37.41576139,152.4,0.118185343,1,0.00877193,0.093658581,15,0.011632416,0.107853677,209,1.833333333,1.354006401,18,Goodrich-Kirtland Pk,0.092332295,0.328195354,16,190.2,0.147499031,0.140350877,83,0.728070175,0.853270283,783,1147.2,18,1,64,274.134229,1289.5,274.134229,982.996875,-5.644567686,7.015455261,33,176,114,24.23520908,0.816371681,"MultiPolygon (((-81.65687400000000196 41.51124499999999529, -81.65802099999999086 41.51091100000000012, -81.66016599999998959 41.51343399999999662, -81.66093299999999999 41.51436700000000002, -81.65984699999999918 41.51479899999999645, -81.65687400000000"
390351084002007,5,0.083333333,52.4,0.088037634,6372600,39148,0.862903226,0.642519448,513.6,0.624327957,0.389785398,0.616666667,3.9148,0.263382214,0.249234642,37,-1.016498773,25,0.384576613,228.9,0.416666667,0.076666667,18,4.597936038,0.724637681,3.90351E+14,0.229328789,0.830458333,0.779421518,0.473496937,0.689661043,0.419852928,40.68513885,2.777087726,9.92,2.294552921,15347,46,Cleveland,0.424982312,0.215448974,0.193999581,0.185960882,-0.038187887,0.666666667,0.862903226,0.642519448,38.31613365,70.9,0.119119624,1,0.016666667,0.129099445,18.5,0.031081989,0.176300849,90,1.5,1.224744871,18,Goodrich-Kirtland Pk,0.071666667,0.664451827,14,176.4,0.296370968,0.233333333,40,0.666666667,0.816496581,371.6,513.6,10,4,26,152.0384183,595.2,152.0384183,463.9116875,-5.871760493,5.364258711,21,150,60,15.32645346,0.844915254,"MultiPolygon (((-81.66322699999999202 41.50945000000000107, -81.66380099999999231 41.50928100000000143, -81.6643889999999999 41.50912499999999739, -81.66681499999999971 41.51201299999999605, -81.66575000000000273 41.51244799999999913, -81.663226999999992"
390351087011028,9,0.090909091,147.5,0.15278641,14163400,26594,0.84928527,0.612577126,819.9,0.763103377,0.582326764,0.757575758,2.6594,0.115927497,0.273029327,75,-0.699906666,23,0.312202196,301.4,0.232323232,0.08805224,20,7.520493344,0.567844728,3.90351E+14,0.51173375,0.830408163,0.839800666,0.592282149,0.689577718,0.328799712,37.16738275,1.829135135,9.851020408,2.287575045,16813,46,Cleveland,0.524932019,0.199733694,0.158010574,0.110630514,-0.059451705,0.966666667,0.84928527,0.612577126,22.56148003,182.2,0.18873006,4,0.04040404,0.201007563,34.7,0.03594365,0.189588107,82,0.828282828,0.91010045,19,Central,0.081318233,0.512390213,8,99,0.102548167,0.080808081,73,0.737373737,0.858704686,736.7,819.9,7,6,60,363.0142137,965.4,363.0142137,810.7435625,-4.604898937,9.024592013,24,60,99,37.22644205,0.83510101,"MultiPolygon (((-81.66090699999999458 41.49897599999999898, -81.66068500000000085 41.49784999999999968, -81.66046599999999955 41.49673800000000057, -81.66043700000000172 41.49664699999999584, -81.66104399999998975 41.49667900000000031, -81.66151299999999"
390351125002007,20,0.170940171,239.7,0.219264544,7135600,23274,0.962038053,0.890382781,1051.7,0.762257592,0.581036637,0.777777778,2.3274,0.184037619,0.233990915,91,0.01786323,31,0.319520673,349.3,0.264957265,0.116230678,22,9.45260806,0.391071844,3.90351E+14,0.341492267,0.932959402,0.928852795,0.801384016,0.870413245,0.418252595,36.45469932,-0.71064608,9.343589744,2.234690519,20288,46,Cleveland,0.520705701,0.196460401,0.137175677,0.073395416,0.016176723,1,0.962038053,0.890382781,38.24009624,356.5,0.326106842,7,0.05982906,0.244599795,116.8,0.106842298,0.326867401,128,1.094017094,1.045952721,28,Hough,0.071938169,0.479338843,4,38.4,0.035126235,0.034188034,34,0.290598291,0.539071693,833.3,1051.7,11,9,14,469.7086878,1093.2,469.7086878,1015.421875,0.739300467,12.46025608,29,89,117,50.27068832,0.939102564,"MultiPolygon (((-81.63358900000000062 41.51360899999999532, -81.63053099999999063 41.51362699999999961, -81.63053099999999063 41.512791, -81.6336029999999937 41.51280699999999513, -81.63358900000000062 41.51360899999999532)))"
390351149002006,27,0.14516129,291.6,0.18772935,4271900,26221,0.963239554,0.893722979,1496.2,0.739586686,0.546988467,0.747311828,2.6221,0.156884492,0.21525509,139,0.136763745,55,0.307731926,478,0.295698925,0.086830847,26,9.915716411,0.442947864,3.90351E+14,0.443119937,0.89656922,0.896799435,0.721250252,0.803836367,0.356962243,36.39123375,-0.073562932,8.351075269,2.122390305,23468,46,Cleveland,0.575601544,0.158713721,0.110223374,0.087689991,0.04303697,0.725,0.963239554,0.893722979,30.50989665,291.6,0.18772935,0,0,0,0,0,0,176,0.946236559,0.972746914,20,Broadway-Slavic Village,0.054861834,0.479673895,12,104,0.066954226,0.064516129,84,0.451612903,0.672021505,1148.8,1496.2,18,40,26,592.3877808,1553.3,592.3877808,1392.998563,1.95075194,14.49220091,38,80,186,70.93550971,0.920564516,"MultiPolygon (((-81.63960500000000309 41.46411399999999503, -81.63959699999999486 41.46361999999999881, -81.63959299999999075 41.46331599999999895, -81.64067899999999156 41.46329099999999812, -81.64070499999999697 41.46415299999999604, -81.64072999999999"
