variable_1,variable_1_label,variable_2,variable_2_label,n,pearson_r,p_value
acer_count_per_tree_count,Maple abund. (% of trees),acer_height_sum_prop,Maple abund. (% height),41,0.962877,0.000000
tree_health_mean,Intactness (% canopy),health_color_squared,Color. & Intact. (% canopy),41,0.958013,0.000000
quercus_count_per_tree_sqrt,Oak abund. (% of trees),quercus_height_sum_prop_sqrt,Oak abund. (% height),41,0.956591,0.000000
health_color_height_prop_cubed,Canopy Health Index(height-wieghted),health_color_squared,Color. & Intact. (% canopy),41,0.936541,0.000000
health_color_height_prop_cubed,Canopy Health Index(height-wieghted),tree_health_mean,Intactness (% canopy),41,0.934995,0.000000
genera_richness_per_hectare,Genus richness,tax_richness_per_hectare,Tax. richness,41,0.918945,0.000000
diffuse_prop,D-porous abund. (% trees),diffuse_height_prop,D-porous abund. (% height),41,0.889648,0.000000
stressors_sum_per_tree_count,Damage score,tree_health_mean,Intactness (% canopy),41,-0.876012,0.000000
arbuscular_prop,AMF abund. (% of trees),arbuscular_height_prop_squared,AMF abund. (% height),41,0.866756,0.000000
stressors_sum_per_tree_count,Damage score,health_color_squared,Color. & Intact. (% canopy),41,-0.855245,0.000000
health_color_height_prop_cubed,Canopy Health Index(height-wieghted),stressors_sum_per_tree_count,Damage score,41,-0.839773,0.000000
species_true_evenness,Tax. evenness,genera_true_evenness,Genus evenness,41,0.832412,0.000000
diffuse_height_prop,D-porous abund. (% height),acer_height_sum_prop,Maple abund. (% height),41,0.756694,0.000000
diffuse_height_prop,D-porous abund. (% height),acer_count_per_tree_count,Maple abund. (% of trees),41,0.718906,0.000000
genera_true_evenness,Genus evenness,acer_height_sum_prop,Maple abund. (% height),41,-0.708480,0.000000
soil_access_per_tree_count_sqrt,Soil restrictions,street_tree_percent,Street trees (% of trees),41,0.696871,0.000000
diffuse_prop,D-porous abund. (% trees),acer_count_per_tree_count,Maple abund. (% of trees),41,0.694493,0.000000
genera_true_evenness,Genus evenness,acer_count_per_tree_count,Maple abund. (% of trees),41,-0.691111,0.000001
diffuse_prop,D-porous abund. (% trees),acer_height_sum_prop,Maple abund. (% height),41,0.687359,0.000001
tax_richness_per_hectare,Tax. richness,tree_health_mean,Intactness (% canopy),41,0.678416,0.000001
tax_richness_per_hectare,Tax. richness,health_color_squared,Color. & Intact. (% canopy),41,0.675508,0.000001
