dependent_variable,dependent_label,n,k,r_squared,adj_r_squared,aic,delta_aic,bic,max_vif,predictor_1,predictor_2,predictor_3,predictor_4,predictor_5
lst_res,Residuals of LST,41,2,0.505978,0.479977,100.420321,5.057745,105.561038,1.118031,Tax. richness (-0.74)*,D-porous abund. (% trees) (0.38)*,,,
lst_res,Residuals of LST,41,2,0.495092,0.468518,101.313983,5.951406,106.454699,1.061125,Tax. richness (-0.70)*,Street trees (% of trees) (0.36)*,,,
lst_res,Residuals of LST,41,2,0.430420,0.400442,106.255434,10.892858,111.396151,1.124570,Tax. richness (-0.70)*,Angio. abund. (% of trees) (-0.25),,,
lst_res,Residuals of LST,41,3,0.584102,0.550381,95.362577,0.000000,102.216865,2.075115,Tax. richness (-1.00)*,Canopy Health Index(height-wieghted) (0.42)*,Street trees (% of trees) (0.47)*,,
lst_res,Residuals of LST,41,3,0.573918,0.539371,96.354452,0.991876,103.208741,1.261196,Tax. richness (-0.84)*,Angio. abund. (% of trees) (-0.28),D-porous abund. (% trees) (0.40)*,,
lst_res,Residuals of LST,41,3,0.532481,0.494574,100.159638,4.797061,107.013926,1.166816,Tax. richness (-0.76)*,Street trees (% of trees) (0.33)*,Angio. abund. (% of trees) (-0.21),,
lst_res,Residuals of LST,41,4,0.572598,0.525109,98.481266,3.118690,107.049127,1.254543,Tax. richness (-0.82)*,Street trees (% of trees) (0.30),Angio. abund. (% of trees) (-0.25),Maple abund. (% of trees) (0.21),
lst_res,Residuals of LST,41,4,0.562333,0.513704,99.454345,4.091768,108.022205,1.415148,Tax. richness (-0.78)*,AMF abund. (% height) (-0.25),D-porous abund. (% trees) (0.43)*,Oak abund. (% of trees) (-0.24),
lst_res,Residuals of LST,41,4,0.533392,0.481547,102.079629,6.717052,110.647489,2.046128,Tax. richness (-0.71)*,Genus evenness (0.30),Angio. abund. (% of trees) (-0.28),Maple abund. (% of trees) (0.45)*,
lst_res,Residuals of LST,41,5,0.539673,0.473912,103.524027,8.161450,113.805459,2.134179,Tax. richness (-0.68)*,Genus evenness (0.31),AMF abund. (% height) (-0.34),Maple abund. (% of trees) (0.54)*,Oak abund. (% of trees) (-0.25)
lst_res,Residuals of LST,41,5,0.535222,0.468826,103.918503,8.555927,114.199936,1.702078,Tax. richness (-0.74)*,Tax. evenness (0.25),AMF abund. (% height) (-0.36),Maple abund. (% height) (0.46)*,Oak abund. (% of trees) (-0.26)
lst_res,Residuals of LST,41,5,0.535048,0.468627,103.933855,8.571278,114.215287,2.321024,Tax. richness (-0.71)*,Genus evenness (0.32),AMF abund. (% height) (-0.35),Maple abund. (% height) (0.55)*,Oak abund. (% of trees) (-0.27)
ndvi_cvA_O,CV of NDVI (Apr-Oct),41,2,0.427723,0.397603,-184.120519,11.764510,-178.979803,1.100509,Damage score (0.52)*,Oak abund. (% height) (-0.27),,,
ndvi_cvA_O,CV of NDVI (Apr-Oct),41,2,0.426394,0.396204,-184.025425,11.859605,-178.884709,1.044163,Canopy Health Index(height-wieghted) (-0.51)*,Oak abund. (% height) (-0.32),,,
ndvi_cvA_O,CV of NDVI (Apr-Oct),41,2,0.422017,0.391596,-183.713743,12.171287,-178.573026,1.037287,Intactness (% canopy) (-0.50)*,Oak abund. (% height) (-0.33),,,
ndvi_cvA_O,CV of NDVI (Apr-Oct),41,3,0.506743,0.466750,-188.212880,7.672149,-181.358592,1.095190,Tax. richness (-0.53)*,Street trees (% of trees) (0.39)*,Oak abund. (% height) (-0.32)*,,
ndvi_cvA_O,CV of NDVI (Apr-Oct),41,3,0.506440,0.466422,-188.187664,7.697365,-181.333376,1.528841,Tax. richness (-0.51)*,Street trees (% of trees) (0.61)*,D-porous abund. (% trees) (-0.39)*,,
ndvi_cvA_O,CV of NDVI (Apr-Oct),41,3,0.506389,0.466366,-188.183430,7.701600,-181.329141,1.063480,Intactness (% canopy) (-0.45)*,Soil restrictions (0.29),Oak abund. (% height) (-0.34)*,,
ndvi_cvA_O,CV of NDVI (Apr-Oct),41,4,0.584300,0.538111,-193.226597,2.658433,-184.658737,1.568365,Tax. richness (-0.41)*,Street trees (% of trees) (0.68)*,Angio. abund. (% of trees) (0.30),D-porous abund. (% trees) (-0.45)*,
ndvi_cvA_O,CV of NDVI (Apr-Oct),41,4,0.561927,0.513252,-191.077287,4.807742,-182.509427,1.667463,Tax. richness (-0.49)*,Street trees (% of trees) (0.55)*,D-porous abund. (% trees) (-0.30),Oak abund. (% height) (-0.25),
ndvi_cvA_O,CV of NDVI (Apr-Oct),41,4,0.552113,0.502348,-190.168907,5.716123,-181.601047,1.196371,Tax. richness (-0.47)*,Street trees (% of trees) (0.42)*,Angio. abund. (% of trees) (0.23),Oak abund. (% height) (-0.31)*,
ndvi_cvA_O,CV of NDVI (Apr-Oct),41,5,0.628948,0.575940,-195.885030,0.000000,-185.603597,1.721874,Tax. richness (-0.39)*,Street trees (% of trees) (0.61)*,Angio. abund. (% of trees) (0.28),D-porous abund. (% trees) (-0.36),Oak abund. (% height) (-0.23)
ndvi_cvA_O,CV of NDVI (Apr-Oct),41,5,0.597232,0.539693,-192.522277,3.362753,-182.240844,1.263249,Tax. richness (-0.41)*,Street trees (% of trees) (0.46)*,Angio. abund. (% of trees) (0.28),Maple abund. (% of trees) (-0.23),Oak abund. (% height) (-0.25)
ndvi_cvA_O,CV of NDVI (Apr-Oct),41,5,0.587165,0.528189,-191.510159,4.374871,-181.228726,1.240612,Tax. richness (-0.30),Soil restrictions (0.43)*,Angio. abund. (% of trees) (0.27),Maple abund. (% of trees) (-0.24),Oak abund. (% height) (-0.28)
ndvi_cvJ_A,CV of NDVI (Jun-Aug),41,2,0.293962,0.256802,-165.203603,0.276963,-160.062887,1.015491,Tax. evenness (0.26),Damage score (0.44)*,,,
ndvi_cvJ_A,CV of NDVI (Jun-Aug),41,2,0.293823,0.256656,-165.195549,0.285017,-160.054833,1.061125,Tax. richness (-0.54)*,Street trees (% of trees) (0.27),,,
