dependent_variable,dependent_label,independent_variable,independent_label,n,intercept,coefficient,coefficient_direction,std_error,t_value,p_value,ci_lower_95,ci_upper_95,r_squared,adj_r_squared,f_statistic,f_p_value,aic,bic
lst_avg,lst_avg,tax_richness_per_hectare,Tax. richness,41,40.270363,-0.266375,-,0.058996,-4.515145,0.000057,-0.385705,-0.147045,0.343286,0.326447,20.386538,0.000057,162.539297,165.966441
lst_avg,lst_avg,health_color_squared,Color. & Intact. (% canopy),41,46.017421,-12.497564,-,3.962502,-3.153958,0.003097,-20.512480,-4.482648,0.203227,0.182797,9.947451,0.003097,170.465428,173.892572
lst_avg,lst_avg,stressors_sum_per_tree_count,Damage score,41,33.403249,6.180334,+,2.012646,3.070751,0.003879,2.109373,10.251295,0.194706,0.174057,9.429509,0.003879,170.901585,174.328729
lst_avg,lst_avg,soil_access_per_tree_count_sqrt,Soil restrictions,41,29.537402,5.611338,+,2.049535,2.737860,0.009269,1.465763,9.756913,0.161216,0.139709,7.495875,0.009269,172.572159,175.999304
lst_avg,lst_avg,tree_health_mean,Intactness (% canopy),41,54.719081,-20.540399,-,7.529865,-2.727858,0.009508,-35.770989,-5.309810,0.160229,0.138696,7.441208,0.009508,172.620393,176.047538
lst_avg,lst_avg,genera_richness_per_hectare,Genus richness,41,39.042404,-0.275736,-,0.103476,-2.664728,0.011148,-0.485036,-0.066436,0.154027,0.132336,7.100774,0.011148,172.922048,176.349192
lst_avg,lst_avg,health_color_height_prop_cubed,Canopy Health Index(height-wieghted),41,40.413617,-6.519634,-,2.507647,-2.599901,0.013102,-11.591828,-1.447439,0.147718,0.125864,6.759486,0.013102,173.226703,176.653847
lst_avg,lst_avg,species_true_evenness,Tax. evenness,41,32.386016,8.347461,+,3.292426,2.535353,0.015355,1.687901,15.007020,0.141499,0.119486,6.428013,0.015355,173.524780,176.951924
lst_avg,lst_avg,genera_true_evenness,Genus evenness,41,33.231918,6.802389,+,2.905073,2.341555,0.024406,0.926325,12.678453,0.123258,0.100778,5.482882,0.024406,174.386785,177.813929
lst_avg,lst_avg,quercus_height_sum_prop_sqrt,Oak abund. (% height),41,37.284312,-4.901167,-,2.234698,-2.193212,0.034320,-9.421270,-0.381064,0.109796,0.086970,4.810180,0.034320,175.011552,178.438696
lst_avg,lst_avg,quercus_count_per_tree_sqrt,Oak abund. (% of trees),41,37.219776,-5.968982,-,2.970625,-2.009335,0.051458,-11.977639,0.039675,0.093812,0.070576,4.037428,0.051458,175.741190,179.168334
lst_avg,lst_avg,arbuscular_height_prop_squared,AMF abund. (% height),41,34.536425,2.907571,+,2.158431,1.347076,0.185731,-1.458268,7.273410,0.044460,0.019959,1.814614,0.185731,177.915419,181.342563
lst_avg,lst_avg,arbuscular_prop,AMF abund. (% of trees),41,32.049773,5.383882,+,4.069942,1.322840,0.193593,-2.848352,13.616116,0.042943,0.018403,1.749906,0.193593,177.980472,181.407616
lst_avg,lst_avg,street_tree_percent,Street trees (% of trees),41,35.272036,4.677517,+,4.253551,1.099674,0.278216,-3.926102,13.281136,0.030075,0.005205,1.209282,0.278216,178.528055,181.955199
lst_avg,lst_avg,acer_height_sum_prop,Maple abund. (% height),41,36.705311,-3.083128,-,3.297549,-0.934976,0.355554,-9.753052,3.586795,0.021923,-0.003155,0.874179,0.355554,178.871179,182.298323
lst_avg,lst_avg,percent_angio_cubed,Angio. abund. (% of trees),41,34.875053,1.621854,+,1.742615,0.930701,0.357734,-1.902917,5.146625,0.021728,-0.003356,0.866205,0.357734,178.879379,182.306523
lst_avg,lst_avg,mean_height_log,Mean Height,41,32.609967,1.573938,+,1.802142,0.873371,0.387807,-2.071238,5.219114,0.019183,-0.005966,0.762776,0.387807,178.985887,182.413032
lst_avg,lst_avg,acer_count_per_tree_count,Maple abund. (% of trees),41,36.374578,-2.131789,-,4.374388,-0.487334,0.628750,-10.979823,6.716245,0.006053,-0.019433,0.237495,0.628750,179.531123,182.958267
lst_avg,lst_avg,diffuse_height_prop,D-porous abund. (% height),41,36.471717,-1.230406,-,3.269323,-0.376349,0.708697,-7.843235,5.382423,0.003619,-0.021930,0.141639,0.708697,179.631407,183.058551
